id,Exited
165034,1
165035,1
165036,0
165037,1
165038,0
165039,0
165040,0
165041,0
165042,1
165043,0
165044,0
165045,0
165046,0
165047,1
165048,1
165049,0
165050,1
165051,1
165052,1
165053,1
165054,0
165055,1
165056,1
165057,0
165058,1
165059,1
165060,1
165061,1
165062,0
165063,0
165064,0
165065,0
165066,1
165067,1
165068,0
165069,0
165070,1
165071,0
165072,1
165073,1
165074,1
165075,1
165076,0
165077,0
165078,1
165079,0
165080,0
165081,0
165082,0
165083,1
165084,0
165085,0
165086,0
165087,1
165088,0
165089,1
165090,1
165091,0
165092,0
165093,1
165094,0
165095,0
165096,0
165097,1
165098,0
165099,0
165100,1
165101,0
165102,1
165103,0
165104,1
165105,0
165106,0
165107,0
165108,0
165109,1
165110,0
165111,1
165112,0
165113,0
165114,0
165115,0
165116,1
165117,0
165118,1
165119,0
165120,1
165121,0
165122,1
165123,0
165124,1
165125,0
165126,0
165127,0
165128,0
165129,0
165130,1
165131,0
165132,1
165133,1
165134,0
165135,0
165136,0
165137,1
165138,1
165139,1
165140,1
165141,0
165142,0
165143,1
165144,0
165145,1
165146,0
165147,0
165148,0
165149,0
165150,0
165151,0
165152,0
165153,0
165154,0
165155,0
165156,0
165157,0
165158,0
165159,0
165160,1
165161,0
165162,1
165163,0
165164,0
165165,1
165166,1
165167,0
165168,0
165169,1
165170,1
165171,0
165172,1
165173,0
165174,0
165175,1
165176,0
165177,0
165178,1
165179,1
165180,0
165181,1
165182,1
165183,0
165184,0
165185,1
165186,0
165187,1
165188,1
165189,0
165190,0
165191,1
165192,1
165193,0
165194,0
165195,0
165196,1
165197,1
165198,1
165199,0
165200,1
165201,1
165202,1
165203,1
165204,1
165205,0
165206,1
165207,0
165208,0
165209,0
165210,0
165211,1
165212,1
165213,0
165214,1
165215,1
165216,1
165217,0
165218,0
165219,1
165220,1
165221,0
165222,1
165223,0
165224,1
165225,1
165226,1
165227,1
165228,1
165229,0
165230,1
165231,0
165232,0
165233,0
165234,0
165235,0
165236,1
165237,0
165238,0
165239,0
165240,0
165241,0
165242,1
165243,1
165244,1
165245,0
165246,0
165247,0
165248,0
165249,1
165250,0
165251,0
165252,0
165253,1
165254,0
165255,0
165256,1
165257,0
165258,1
165259,1
165260,1
165261,1
165262,1
165263,0
165264,0
165265,0
165266,0
165267,0
165268,1
165269,1
165270,1
165271,0
165272,1
165273,0
165274,0
165275,1
165276,1
165277,1
165278,1
165279,0
165280,0
165281,0
165282,0
165283,0
165284,1
165285,0
165286,0
165287,0
165288,0
165289,1
165290,0
165291,0
165292,0
165293,1
165294,0
165295,1
165296,1
165297,0
165298,0
165299,0
165300,1
165301,0
165302,1
165303,1
165304,0
165305,0
165306,0
165307,1
165308,0
165309,1
165310,0
165311,1
165312,1
165313,0
165314,0
165315,0
165316,0
165317,0
165318,1
165319,1
165320,0
165321,1
165322,0
165323,0
165324,0
165325,1
165326,1
165327,1
165328,0
165329,0
165330,0
165331,0
165332,1
165333,0
165334,0
165335,0
165336,0
165337,1
165338,0
165339,1
165340,1
165341,0
165342,0
165343,0
165344,1
165345,0
165346,1
165347,1
165348,1
165349,0
165350,0
165351,0
165352,0
165353,0
165354,0
165355,0
165356,0
165357,1
165358,1
165359,0
165360,1
165361,0
165362,1
165363,0
165364,0
165365,1
165366,0
165367,0
165368,0
165369,1
165370,0
165371,0
165372,1
165373,0
165374,0
165375,0
165376,0
165377,0
165378,1
165379,1
165380,1
165381,0
165382,0
165383,0
165384,0
165385,1
165386,1
165387,0
165388,1
165389,1
165390,1
165391,0
165392,0
165393,0
165394,1
165395,0
165396,0
165397,0
165398,1
165399,0
165400,0
165401,0
165402,1
165403,0
165404,0
165405,1
165406,0
165407,0
165408,0
165409,0
165410,0
165411,0
165412,0
165413,0
165414,0
165415,1
165416,1
165417,0
165418,0
165419,1
165420,0
165421,1
165422,0
165423,0
165424,0
165425,1
165426,1
165427,1
165428,1
165429,1
165430,0
165431,1
165432,0
165433,1
165434,1
165435,1
165436,1
165437,0
165438,0
165439,0
165440,1
165441,0
165442,0
165443,0
165444,0
165445,0
165446,0
165447,0
165448,0
165449,0
165450,0
165451,0
165452,1
165453,0
165454,1
165455,0
165456,1
165457,1
165458,0
165459,0
165460,0
165461,0
165462,1
165463,1
165464,1
165465,1
165466,0
165467,1
165468,0
165469,0
165470,1
165471,1
165472,0
165473,1
165474,1
165475,0
165476,1
165477,1
165478,0
165479,1
165480,0
165481,1
165482,0
165483,0
165484,0
165485,0
165486,1
165487,0
